,ID,board_t,env_t,light_strength,efficiency,efficiency_A,efficiency_B,efficiency_C,V_A,V_B,V_C,I_A,I_B,I_C,P_A,P_B,P_C,P_avg,wind_speed,wind_direction,y,predicted_V_A,predicted_V_B,predicted_V_C,predicted_I_A,predicted_I_B,predicted_I_C
177,420,3.89,-5.2,206,56.32,55.96,56.28,56.73,683,681,681,5.22,5.17,5.32,3565.26,3520.77,3622.92,3569.65,0,276,,679.4170627,677.1474899,677.6632764,4.960358554,4.945935414,5.099933265
231,535,5.12,1.8,115,73.35,73.2,72.98,73.88,657,654,655,5.61,5.67,5.53,3685.77,3708.18,3622.15,3672.03,0.8,298,,679.6954517,678.3074554,677.8551937,3.650348896,3.600464629,3.704980291
355,801,2.64,-8,248,49.72,49.23,49.26,50.67,707,708,706,4.86,4.91,5.13,3436.02,3476.28,3621.78,3511.36,0.8,34,,681.9664411,677.874958,678.5564095,5.22862157,5.237724924,5.360294603
362,815,2.55,-5.7,307,46.81,46.34,46.67,47.42,683,680,678,5.22,5.26,5.34,3565.26,3576.8,3620.52,3587.53,2.8,325,,679.5811699,676.8260644,677.3531293,6.126217743,6.132533274,6.241142077
366,823,2.06,-5.3,342,45.51,45.09,45.17,46.26,711,707,707,4.83,4.98,5.12,3434.13,3520.86,3619.84,3524.94,0.6,275,,680.7040888,676.5589953,676.9913045,6.590437298,6.637558329,6.750398373
367,825,2.62,-4.9,344,45.18,45.15,44.75,45.63,674,669,669,5.3,5.34,5.41,3572.2,3572.46,3619.29,3587.98,0.9,281,,679.3033778,676.2268056,675.0696254,6.591198609,6.664238982,6.791819536
377,845,3.64,-4.5,371,43.58,43.41,43.41,43.91,677,677,679,5.15,5.13,5.33,3486.55,3473.01,3619.07,3526.21,3.7,64,,679.0904907,676.2714554,675.0140915,6.906437486,6.924572707,7.091823719
391,873,2.89,-4,312,46.3,46.07,46.09,46.75,669,664,665,5.32,5.37,5.44,3559.08,3565.68,3617.6,3580.79,2.3,310,,680.068298,676.6308715,676.3202287,6.150379571,6.151404928,6.314728157
401,890,3.01,-3.5,235,51.18,50.5,50.72,52.31,697,695,694,5.05,5.03,5.21,3519.85,3495.85,3615.74,3543.81,3.1,292,,680.0369102,677.2905575,676.563421,5.122410043,5.099300931,5.274198877
704,1579,3.26,-10.2,324,45.24,45.89,44.63,45.21,667,666,667,5.24,5.25,5.42,3495.08,3496.5,3615.14,3535.57,0,295,,676.3175263,673.0822601,676.0632853,6.253872843,6.359788822,6.468860971
739,1656,3.89,-7.4,146,59.3,63.65,59.87,54.39,672,671,669,5.06,5.33,5.4,3400.32,3576.43,3612.6,3529.78,0.4,189,,678.9800642,675.7796283,677.3805774,3.788361562,3.694743854,3.968299775
800,1785,5.41,-6.1,275,37.81,37.82,37.46,38.16,687,684,684,4.26,5.25,5.28,2926.62,3591,3611.52,3376.38,0.5,186,,676.7847106,675.2624072,675.6665726,4.494853718,4.509013211,4.595403248
802,1787,5.39,-6.2,284,36.9,36.79,36.52,37.41,685,681,680,5.24,5.22,5.31,3589.4,3554.82,3610.8,3585.01,2.1,165,,676.7292272,674.7296694,675.928902,4.510746617,4.539662824,4.599349299
805,1791,5.27,-6,279,35.41,35.55,33.64,37.02,704,701,701,4.89,5,5.15,3442.56,3505,3610.15,3519.24,0.6,181,,677.7287064,675.9580435,675.3004927,4.176316071,4.209913051,4.270514103
835,1860,-7.98,-6.9,30,42.08,38.81,41.67,45.75,665,661,667,2.92,2.02,5.41,1941.8,1335.22,3608.47,2295.16,1.5,141,,674.1183278,677.6943287,675.1959967,0.512515902,0.522183622,0.556049567
1145,2545,2.85,-5.7,376,41.55,41.34,40.97,42.33,654,649,649,5.53,5.55,5.56,3616.62,3601.95,3608.44,3609,2.3,281,,678.4673533,675.37504,675.1787484,6.618785565,6.682738801,6.812426259
1147,2549,1.78,-6.2,369,42.58,42.28,42.41,43.04,682,679,682,5.19,5.2,5.29,3539.58,3530.8,3607.78,3559.39,0.1,293,,678.6433166,675.7038068,677.548183,6.641913234,6.692332082,6.831465179
1148,2550,1.68,-5.8,368,42.54,42.28,42.22,43.11,654,649,650,5.42,5.5,5.55,3544.68,3569.5,3607.5,3573.89,2,302,,680.0594225,676.464803,676.1476084,6.626974989,6.667014688,6.786420139
1149,2551,1.7,-5.6,366,42.51,42.19,42.26,43.09,648,647,646,5.27,5.42,5.58,3414.96,3506.74,3604.68,3508.79,2.4,322,,679.2502727,675.9863739,674.9998712,6.590265672,6.625460049,6.76388697
1150,2552,3.01,-5.7,362,42.53,42.33,42.28,42.98,685,681,680,5.39,5.55,5.3,3692.15,3779.55,3604,3691.9,3.2,286,,677.8693833,674.2974894,675.2776935,6.573803105,6.571821298,6.728868672
1155,2560,1.81,-5.5,343,43.64,43.36,43.31,44.25,689,684,685,5.15,5.14,5.26,3548.35,3515.76,3603.1,3555.74,3,283,,680.3381175,675.7412483,677.5284265,6.344693654,6.349812232,6.485537376
1315,2914,3.55,-2.7,389,34.76,33.93,35.56,34.79,663,662,662,5.36,5.39,5.44,3553.68,3568.18,3601.28,3574.38,2.4,267,,679.9937906,676.8344047,678.4140702,5.91041629,5.724752485,5.751659594
1329,2947,2.8,-1.9,209,39.62,31.77,41.18,45.93,628,625,624,5.54,5.55,5.77,3479.12,3468.75,3600.48,3516.12,1.9,314,,681.3514049,681.4874597,681.4073845,3.796194378,3.308763657,3.544138277
1335,2958,2.14,-1.7,119,56.45,68.13,48.94,52.3,704,700,699,4.9,5.01,5.15,3449.6,3507,3599.85,3518.82,2.8,286,,680.5868832,679.2900945,675.313201,2.544769529,3.394582327,3.051578957
1375,3075,3.68,-4.4,322,44.98,44.51,44.46,45.97,712,692,717,5.42,5.75,5.02,3859.04,3979,3599.34,3812.46,4.2,279,,680.2108956,677.0599639,677.2471059,6.193647009,6.197497407,6.315713463
1417,3171,5.99,0.1,139,61.77,61.7,60.3,63.3,680,679,674,4.68,4.74,5.34,3182.4,3218.46,3599.16,3333.34,2.4,286,,675.0571716,675.7799236,674.8846429,3.714642969,3.749355118,3.735600279
1437,3227,-9.04,-9.4,45,31.68,31.37,31.51,32.15,698,691,696,5.03,5.03,5.17,3510.94,3475.73,3598.32,3528.33,0.2,142,,685.6208579,681.3717446,678.950064,0.57145538,0.582203775,0.612053741
1467,3301,5.24,-0.7,232,33.58,33.57,32.36,34.82,674,669,670,5.1,5.11,5.37,3437.4,3418.59,3597.9,3484.63,2.8,261,,681.8686056,679.3296059,681.1727598,3.223135912,3.382741985,3.396161172
1468,3303,5.62,-0.6,241,31.79,31.89,30.79,32.7,684,683,684,5.03,5.11,5.26,3440.52,3490.13,3597.84,3509.5,2,256,,678.2961886,676.9880124,677.4734471,3.29318905,3.30922633,3.31388453
1551,3517,-6.87,-6.7,67,23.16,23.44,23.08,22.95,710,710,708,4.87,4.87,5.08,3457.7,3457.7,3596.64,3504.01,1.7,3,,682.3889523,679.0076719,678.977652,0.635195196,0.637895944,0.652639869
1760,3962,3.91,-14.3,360,41.62,41.27,41.35,42.25,637,635,632,5.39,5.53,5.69,3433.43,3511.55,3596.08,3513.69,1,190,,680.2976726,675.6371353,677.5091067,6.382510534,6.4023805,6.551975914
1856,4177,2.68,-10.5,455,35.28,34.08,34.95,36.8,638,636,632,5.66,5.14,5.69,3611.08,3269.04,3596.08,3492.07,2.4,185,,681.8601699,678.0251262,677.7795359,6.824596877,6.861843688,6.862211244
1947,4394,-7.64,-8.9,132,8.55,8.63,7.95,9.07,660,656,655,5.29,5.4,5.49,3491.4,3542.4,3595.95,3543.25,2.1,17,,674.3881751,675.871478,672.6437284,0.451356074,0.466856722,0.490515923
1959,4410,-7.94,-8.5,116,9.85,9.83,9.8,9.93,646,645,642,5.67,5.64,5.6,3662.82,3637.8,3595.2,3631.94,0.4,23,,678.9549385,676.8237837,674.1400932,0.470552905,0.467560661,0.479479885
1962,4415,-7.99,-8.4,137,10.48,9.91,10.51,11.01,696,696,694,5.07,5.06,5.18,3528.72,3521.76,3594.92,3548.47,1,259,,683.2811903,680.6754343,681.08214,0.580148096,0.582206429,0.604158819
2175,4920,6.66,-6.9,286,55.28,56.45,55.2,54.19,694,690,690,5.07,5.09,5.21,3518.58,3512.1,3594.9,3541.86,2.4,283,,679.7253733,668.4913045,680.4155666,6.973018748,7.090988392,6.69314401
2297,5197,0.12,-9.7,473,36.14,36.07,35.86,36.5,713,708,709,4.86,4.89,5.07,3465.18,3462.12,3594.63,3507.31,1.4,344,,679.0723006,677.0757088,675.28807,7.215029986,7.259254481,7.406108828
2298,5199,0.08,-9.8,470,36.23,36,36,36.7,685,680,687,5.12,5.22,5.23,3507.2,3549.6,3593.01,3549.94,1.8,295,,681.002079,677.7686564,677.398906,7.159602874,7.194889879,7.305594724
2299,5202,-0.35,-10.2,461,36.4,36.35,35.83,37.01,614,612,613,5.97,5.9,5.86,3665.58,3610.8,3592.18,3622.85,1.8,345,,680.4600043,676.8630534,676.169063,7.053599664,7.127225977,7.137049659
2369,5381,3.62,-6.2,514,34.11,33.74,33.96,34.64,680,676,679,5.17,5.13,5.29,3515.6,3467.88,3591.91,3525.13,2.7,230,,681.6667575,678.1238584,678.4945264,7.456628244,7.523978712,7.639248364
2371,5384,3.43,-6,523,34.01,33.72,33.94,34.38,714,714,714,4.11,4.83,5.03,2934.54,3448.62,3591.42,3324.86,5.5,253,,682.1728878,677.2352439,678.3932463,7.556625476,7.599856391,7.76046264
2394,5445,5.2,-2.2,367,34.58,34.43,34.35,34.95,616,614,616,5.83,5.98,5.83,3591.28,3671.72,3591.28,3618.09,5.2,267,,682.0207164,677.4759978,678.8503372,5.433222395,5.446061955,5.534832242
2395,5446,5.06,-2,354,35.09,35.12,34.96,35.2,628,626,630,5.65,5.88,5.7,3548.2,3680.88,3591,3606.69,4.3,255,,682.5235675,677.5896928,680.4618765,5.319672893,5.360489585,5.41529614
2413,5489,-1.81,-1.9,59,40.47,39.45,41.25,40.72,713,709,709,4.97,4.99,5.06,3543.61,3537.91,3587.54,3556.35,1.1,199,,684.2751335,681.4492533,681.2218788,1.006338346,0.996750267,1.035604884
2453,5572,2.37,-6.5,416,34.19,33.88,33.89,34.79,645,638,645,4.93,5.35,5.56,3179.85,3413.3,3586.2,3393.12,1.2,345,,680.7891701,677.0143233,677.8868449,6.030107478,6.042490261,6.188199815
2454,5576,3.45,-5.7,432,33.19,32.56,32.76,34.25,669,671,669,4.76,4.97,5.36,3184.44,3334.87,3585.84,3368.38,1.7,273,,676.1859334,674.7026657,674.8682411,6.163198708,6.12554472,6.240078071
2485,5643,0.37,-3.4,229,19.37,18.63,19.2,20.28,719,725,747,1.42,0.31,4.8,1020.98,224.75,3585.6,1610.44,1.2,294,,683.6234702,682.5907394,681.2801464,1.869302609,1.833504302,1.981832651
2488,5649,4.03,-2.5,380,34.1,34.18,35.13,32.99,640,636,630,5.67,5.69,5.69,3628.8,3618.84,3584.7,3610.78,1.5,280,,679.7362818,677.0844697,677.7188054,5.54794647,5.557363174,5.762778077
2493,5657,2.87,-3.2,279,34.16,33.84,31.45,37.19,694,693,693,4.96,4.99,5.17,3442.24,3458.07,3582.81,3494.37,0.9,336,,682.276794,679.2332911,678.4156277,4.072822757,4.118151667,4.107951438
2645,5983,1.87,-5.1,482,33.52,33.19,33.28,34.1,691,689,685,5.09,5.16,5.23,3517.19,3555.24,3582.55,3551.66,2.2,278,,679.7791871,676.9307399,675.4630175,6.879005469,6.888488217,7.016167899
2649,5989,1.64,-4.9,505,33.55,33.56,33.51,33.57,667,667,667,5.33,5.28,5.37,3555.11,3521.76,3581.79,3552.89,2.2,307,,676.76171,674.7030217,677.0313709,7.193595487,7.228164389,7.374132749
2688,6068,4.12,-2.5,384,34.64,34.91,34.33,34.69,657,655,656,5.23,5.33,5.46,3436.11,3491.15,3581.76,3503.01,3.1,289,,679.161423,677.2094415,677.5363341,5.667945565,5.758333191,5.857825973
2762,6240,5.81,-3.5,424,25.75,24.5,24.95,27.8,696,697,694,4.96,5,5.16,3452.16,3485,3581.04,3506.07,3.2,247,,682.8357942,680.7731553,678.5796511,4.433091718,4.647123642,4.65796834
2781,6288,6.01,-1.2,197,31.05,28.51,35.2,29.43,615,611,612,5.92,5.86,5.85,3640.8,3580.46,3580.2,3600.49,4.2,287,,675.3156786,676.7931968,674.081178,2.975916633,2.45609575,2.74562097
2790,6303,5.87,-0.7,251,36.99,37.04,36.9,37.04,705,702,702,4.94,4.86,5.1,3482.7,3411.72,3580.2,3491.54,4,267,,682.4541925,679.9077785,678.1396636,4.003231277,3.991925125,4.050924098
2792,6305,5.03,-0.9,235,37.4,37.41,37.08,37.72,682,677,674,5.06,5.13,5.31,3450.92,3473.01,3578.94,3500.96,2.3,274,,684.3767261,681.5336054,680.7087061,3.710746864,3.775317585,3.842836654
2865,6436,1.22,-5,582,31.17,30.78,30.84,31.89,663,660,659,5.81,5.56,5.43,3852.03,3669.6,3578.37,3700,4.5,283,,680.6044959,677.1162009,675.6852448,7.66461191,7.704274971,7.753612969
2937,6596,1.87,-6.2,509,31.88,31.66,31.65,32.34,680,675,679,5.08,5.14,5.27,3454.4,3469.5,3578.33,3500.74,0.7,305,,680.4205063,677.2829214,676.4358737,6.878907474,6.887555882,6.948033664
3070,6865,7.41,-0.9,520,27.04,26.5,27.54,27.1,700,696,696,4.89,5.07,5.14,3423,3528.72,3577.44,3509.72,6.4,266,,676.8958363,673.3367721,675.3446734,6.156134676,6.026696028,6.20766161
3207,7180,1.1,-8.4,508,31.43,30.88,31.29,32.13,693,691,689,5.1,5.15,5.19,3534.3,3558.65,3575.91,3556.29,1.4,1,,684.3574394,677.1443271,678.6299046,6.739107202,6.732372589,6.90712958
3209,7183,1.76,-8,524,30.77,30.13,30.67,31.51,701,697,697,4.97,5.05,5.13,3483.97,3519.85,3575.61,3526.48,2.7,38,,681.2135897,677.2099489,677.4839584,6.842580733,6.843400129,7.025851089
3210,7184,1.62,-7.9,529,30.72,30.35,30.44,31.37,677,674,677,4.58,5.32,5.28,3100.66,3585.68,3574.56,3420.3,1.7,46,,680.4552631,677.2197194,677.1283003,6.873743857,6.925277183,7.046666755
3299,7379,2.1,-7.2,480,31.04,31.05,30.48,31.6,685,679,677,5.17,5.18,5.28,3541.45,3517.22,3574.56,3544.41,0.4,322,,679.1523873,675.8189887,676.1627065,6.305679974,6.37038429,6.498938804
3300,7380,2.55,-7.4,480,31.25,31.2,30.92,31.65,638,632,636,6.07,6.02,5.62,3872.66,3804.64,3574.32,3750.54,1.7,322,,678.6420565,675.4723991,676.7149797,6.38244559,6.414453485,6.520167186
3361,7495,5.72,-3.4,355,31.02,30.7,30.96,31.41,664,666,664,5.13,5.3,5.38,3406.32,3529.8,3572.32,3502.81,3.1,271,,679.3995116,677.1919847,677.8285939,4.760712684,4.631677101,4.807266513
3364,7498,5.3,-3.7,326,31.92,31.85,31.7,32.2,665,662,665,5.39,5.36,5.37,3584.35,3548.32,3571.05,3567.91,0.2,267,,682.5009731,679.2281318,679.3754315,4.5067284,4.444635687,4.561861589
3375,7527,-4.27,-4.2,45,48.61,46.31,52.01,47.51,636,632,632,5.66,5.66,5.65,3599.76,3577.12,3570.8,3582.56,1.8,271,,684.8083297,683.711008,680.9146999,0.911905009,0.892053327,0.926101
3383,7548,-8.02,-8.1,50,27.56,27.17,28.06,27.45,626,629,625,5.78,5.71,5.71,3618.28,3591.59,3568.75,3592.87,1.6,157,,680.7627351,678.0432124,677.131622,0.563602322,0.56646894,0.586052119
3393,7568,-6.16,-6.9,87,20.49,19.95,20.38,21.15,682,677,681,4.94,4.11,5.24,3369.08,2782.47,3568.44,3240,1.3,190,,680.6337894,676.7983085,682.1787951,0.705051656,0.768871795,0.722385508
3462,7722,0.03,-1.9,108,38.25,37.81,38.53,38.41,662,663,662,5.41,5.44,5.39,3581.42,3606.72,3568.18,3585.44,0,59,,685.7066857,681.7062334,680.3818485,1.71293344,1.733624709,1.842489807
3464,7727,-1.5,-2.3,70,41.56,41.69,41.69,41.29,682,682,678,4.19,4.14,5.26,2857.58,2823.48,3566.28,3082.45,0,52,,682.1757265,680.0144433,679.0649337,1.224840536,1.226509626,1.247588671
3536,7865,4.93,-1.9,409,26,26.21,26.06,25.74,674,669,670,5.32,5.29,5.32,3585.68,3539.01,3564.4,3563.03,6.4,86,,679.1266314,677.9890738,676.4953986,4.628358752,4.629955601,4.703200467
3552,7906,-1.02,-1.9,121,21.85,21.54,21.89,22.12,604,602,599,5.91,5.87,5.95,3569.64,3533.74,3564.05,3555.81,3.9,101,,674.7953523,676.8398767,674.609319,1.132906378,1.110608252,1.13030123
3665,8174,-7.83,-7.9,74,21.72,21.29,21.92,21.95,638,633,633,5.62,5.55,5.63,3585.56,3513.15,3563.79,3554.17,3.4,94,,683.1542482,681.6453533,678.922476,0.660543958,0.653690462,0.678961245
3730,8291,-7.52,-7.5,76,18.8,17.84,17.69,20.86,699,696,696,4.9,4.88,5.12,3425.1,3396.48,3563.52,3461.7,4.6,36,,691.2286355,682.2812206,686.1163923,0.55965322,0.562042085,0.590965923
3774,8378,0.93,-4.5,483,19.58,17.25,13.39,28.1,693,688,689,4.92,4.93,5.17,3409.56,3391.84,3562.13,3454.51,2.5,322,,681.2888383,684.7039005,681.9600147,4.494418496,4.224278746,3.343454821
3781,8387,2.64,-3.9,566,28.33,27.61,29.29,28.1,705,695,701,4.94,4.97,5.08,3482.7,3454.15,3561.08,3499.31,4,307,,679.8978414,675.7346595,678.0815541,6.905050103,6.685746065,7.019352811
3782,8388,3.81,-3.5,584,28.26,28.28,27.92,28.59,700,699,701,4.88,4.93,5.08,3416,3446.07,3561.08,3474.38,1.8,256,,679.8414808,676.6124188,677.0799102,6.992540848,7.055317735,7.240005763
3875,8584,3.85,-4.2,341,23.01,23.91,22.2,22.92,707,703,705,4.93,4.99,5.05,3485.51,3507.97,3560.25,3517.91,2.9,199,,682.5995293,679.8768308,679.2524301,3.302211016,3.415195597,3.440043742
3928,8692,0.72,-0.7,94,38.38,38.08,37.63,39.44,680,677,678,5.06,5.07,5.25,3440.8,3432.39,3559.5,3477.56,4,281,,683.0898347,681.2870418,679.853525,1.507137292,1.518535398,1.573373404
4102,9044,6.12,-2.9,438,27.89,27.59,27.23,28.86,650,649,646,5.35,5.49,5.51,3477.5,3563.01,3559.46,3533.32,2.9,273,,675.9679911,675.9270876,675.457186,5.294399372,5.30490162,5.371673549
4202,9257,5.91,-4.6,413,29.03,28.95,28.55,29.58,625,629,620,5.92,5.81,5.74,3700,3654.49,3558.8,3637.76,4,275,,680.1212158,677.8281471,676.8747599,5.149794537,5.19884136,5.284845727
4203,9258,5.97,-4.3,411,28.77,28.46,28.39,29.45,663,658,659,5.28,5.32,5.4,3500.64,3500.56,3558.6,3519.93,4.4,286,,679.8816108,678.2202213,677.8043945,5.075262966,5.08105539,5.223476527
4264,9356,0.62,-8,610,28.68,28.54,28.6,28.91,704,702,699,4.95,5,5.09,3484.8,3510,3557.91,3517.57,1.8,271,,680.4702813,677.1813263,677.6948157,7.400470656,7.400947478,7.529120741
4320,9474,3.04,-5.5,313,30.36,30.3,30.4,30.39,695,695,692,4.91,4.95,5.14,3412.45,3440.25,3556.88,3469.86,0,305,,684.6247676,681.7689873,680.7297675,4.015827958,4.043699891,4.18076734
4374,9593,-2.35,-8,229,10.91,10.7,10.9,11.14,685,682,684,4.86,5.03,5.2,3329.1,3430.46,3556.8,3438.79,0,3,,680.0787954,677.747326,678.3916953,1.043119475,1.048918616,1.046659875
4448,9769,2.12,-7.2,539,29.75,29.65,29.52,30.08,695,696,693,4.99,5,5.13,3468.05,3480,3555.09,3501.05,1.1,319,,677.8917392,674.9813273,675.4677295,6.795053847,6.883530382,6.988232806
4466,9820,12.66,-5.2,750,25.03,24.2,25.1,25.77,713,712,711,4.92,4.96,5,3507.96,3531.52,3555,3531.49,1,40,,668.8454301,661.2721229,667.5667876,8.41142603,8.595239503,8.560251094
4536,9979,5.95,-5.7,598,20.79,19.02,18.13,25.21,665,662,662,5.21,5.26,5.37,3464.65,3482.12,3554.94,3500.57,2.6,142,,680.8600714,679.1387921,678.3248823,5.793570145,5.405401958,4.927030462
4573,10059,6.58,-4,482,23.46,22.4,22.65,25.33,683,678,678,5.14,5.18,5.24,3510.62,3512.04,3552.72,3525.13,2.5,106,,678.6046478,675.300025,678.7205843,4.760765625,4.733912703,4.847382068
4632,10173,4.01,-7.5,507,25.62,25.44,25.2,26.22,671,666,669,5.29,5.34,5.31,3549.59,3556.44,3552.39,3552.81,0.7,276,,680.6249694,677.9729069,676.5518779,5.532228272,5.593113029,5.627022889
4675,10267,4.76,-4,500,24.19,26.28,28.43,17.86,606,601,599,5.86,6,5.93,3551.16,3606,3552.07,3569.74,1.6,323,,681.1169501,676.8558233,677.3031821,5.190960347,4.813127205,5.818970844
4721,10372,4.91,-6.1,440,27.05,26.85,26.82,27.49,698,695,695,4.91,4.96,5.11,3427.18,3447.2,3551.45,3475.28,0.6,178,,681.0721828,677.5026507,678.5932613,5.102012113,5.083541399,5.222324816
4807,10548,-1.52,-2.3,129,24.23,23.73,23.98,24.98,648,646,648,5.4,5.21,5.48,3499.2,3365.66,3551.04,3471.97,1.1,199,,683.9864733,682.3228299,680.7837132,1.272975239,1.299926324,1.353925591
4928,10770,3.72,1.2,338,21.25,21.99,19.63,22.13,611,610,608,5.95,5.87,5.84,3635.45,3580.7,3550.72,3588.96,1.2,6,,680.1865198,679.7426001,678.6798214,3.017937131,3.154598446,3.11148947
5040,10967,2.76,0.8,288,16.76,13.8,17.13,19.35,689,687,688,4.98,4.98,5.16,3431.22,3421.26,3550.08,3467.52,1.5,43,,680.5156111,681.3321676,680.5368128,2.134757991,1.978670451,1.939863322
5238,11325,0,0.1,97,29.94,29.93,28.83,31.06,685,684,680,5.09,5.08,5.22,3486.65,3474.72,3549.6,3503.66,0.8,318,,678.1641027,678.6400352,677.3601565,1.220580241,1.222145041,1.236875714
5540,11980,4.77,-1.1,358,24.8,24.51,25.15,24.74,642,638,637,5.46,5.52,5.57,3505.32,3521.76,3548.09,3525.06,1.1,22,,680.4064738,679.2574831,678.1429306,3.880294141,3.762683553,3.895755372
5542,11983,5.72,-0.9,371,24.93,24.82,25.09,24.88,731,730,730,4.67,4.63,4.86,3413.77,3379.9,3547.8,3447.16,2.6,95,,677.8294339,674.6554401,677.1055145,3.999361252,3.992563465,4.007168319
5632,12188,5.2,-1.8,330,23.82,24.31,23.32,23.81,687,687,686,5.11,5.09,5.17,3510.57,3496.83,3546.62,3518.01,1.7,186,,679.3347221,677.2193333,678.277736,3.353513049,3.406165247,3.440259683
5833,12597,4.33,0.4,214,23.34,23.91,23.33,22.79,666,661,664,5.35,5.34,5.34,3563.1,3529.74,3545.76,3546.2,2,253,,680.474413,679.2928087,678.2961987,2.167079076,2.158696201,2.203110605
7050,15092,1.47,0.6,134,23.76,23.31,24.29,23.69,628,625,623,5.78,5.48,5.69,3629.84,3425,3544.87,3533.24,2.3,334,,673.6387438,676.6876705,674.4296366,1.384426982,1.335769552,1.39803557
7053,15096,2.6,1.1,181,24.17,28.56,22.55,21.39,670,664,665,5.14,5.22,5.33,3443.8,3466.08,3544.45,3484.78,2.8,278,,676.8020587,676.2661849,673.3711684,1.722071332,2.035019337,2.16154341
7059,15106,5.05,3.1,503,17.77,19.18,19.21,14.92,680,678,679,5.09,5.1,5.22,3461.2,3457.8,3544.38,3487.79,4,300,,677.8220601,674.6071001,674.1551512,4.060096626,3.970751454,4.269757266
7175,15313,5.51,1.7,431,20.42,20.47,20.5,20.3,645,645,642,5.59,5.55,5.52,3605.55,3579.75,3543.84,3576.38,1.7,351,,677.3146476,676.501066,675.7714669,3.816912359,3.783009312,3.905540286
7457,15946,4.35,1.6,371,18.8,19.18,18.86,18.36,629,626,625,5.67,5.65,5.67,3566.43,3536.9,3543.75,3549.03,1.2,292,,682.1578009,679.6143853,679.2672315,3.026485696,3.041066647,3.098563616
7458,15947,4.6,1.8,382,19.16,19.22,19.16,19.1,682,677,684,5.16,5.1,5.18,3519.12,3452.7,3543.12,3504.98,3.3,1,,679.919535,678.9150267,678.2130344,3.193836791,3.092171716,3.212884616
124,284,3.3,-0.9,214,26.04,27.11,25.34,25.66,641,633,637,5.64,5.26,5.56,3615.24,3329.58,3541.72,3495.51,3.2,275,,681.8583924,678.4270634,678.6699419,2.331787251,2.43893123,2.496785301
152,347,7.51,1,117,71.52,71.04,71.13,72.38,670,670,668,5.22,5.2,5.3,3497.4,3484,3540.4,3507.27,3.6,274,,678.8346111,676.8573993,677.0760863,3.60753859,3.619693557,3.706103947
155,351,7.12,0.8,91,80.34,78.07,79.94,83.01,655,652,652,5.29,5.37,5.43,3464.95,3501.24,3540.36,3502.18,2.6,271,,680.2922945,677.7045678,679.3385181,3.150645548,3.153462462,3.158412084
158,358,5.37,0.5,20,281.64,277.62,273.79,293.51,684,679,682,5.02,5.2,5.19,3433.68,3530.8,3539.58,3501.35,2.6,287,,682.8115886,679.7963433,679.3367885,2.337921166,2.364793978,2.497400974
234,541,5.33,1.6,88,79.13,78.35,77.79,81.25,684,683,682,4.99,5.04,5.19,3413.16,3442.32,3539.58,3465.02,0,306,,680.9114614,679.0919924,679.5540976,2.982507366,2.998860168,3.060573726
240,553,0.76,0,3,1172.04,1081.42,1217.08,1217.63,635,634,632,5.58,5.54,5.6,3543.3,3512.36,3539.2,3531.62,1.3,270,,676.9946869,676.6315569,674.4265593,1.539279335,1.544051989,1.476620154
310,693,5.2,-0.7,215,35.94,33.38,35.53,38.9,684,679,678,5.66,5.33,5.22,3871.44,3619.07,3539.16,3676.56,1.4,202,,678.2113679,676.7971502,677.5004589,3.319084605,3.233499806,3.30256237
313,700,2.97,-1.2,166,34.79,33.03,37.78,33.57,626,624,623,5.7,5.68,5.68,3568.2,3544.32,3538.64,3550.39,3.2,221,,678.4214068,676.1276755,678.1180831,2.636567269,2.41663705,2.518158913
315,704,2.08,-1.3,165,31.36,29.36,30.25,34.46,705,701,706,4.75,4.85,5.01,3348.75,3399.85,3537.06,3428.55,1.5,191,,680.554085,678.9333367,680.5351041,2.1648178,2.135850051,2.220019121
316,705,2.18,-1.2,153,31.41,29.82,30.23,34.2,629,628,631,5.67,5.59,5.6,3566.43,3510.52,3533.6,3536.85,1,213,,679.3070136,678.6486065,678.0130473,2.064056109,2.023320475,2.045196198
323,719,-0.62,-1.7,94,32.13,31.66,32.92,31.82,690,687,690,5.04,5.04,5.12,3477.6,3462.48,3532.8,3490.96,2.2,244,,680.9631728,679.7932065,676.4265231,1.273990481,1.262756728,1.30015329
371,835,2.64,-5.1,362,44.15,43.94,44.06,44.45,669,667,665,5.14,5.21,5.31,3438.66,3475.07,3531.15,3481.63,4,10,,676.8654125,673.5652971,674.8688758,6.804695163,6.863731173,7.007896982
378,847,3.24,-4.5,369,43.55,43.46,43.32,43.88,622,615,613,5.35,5.58,5.76,3327.7,3431.7,3530.88,3430.09,3.6,6,,676.0927316,673.8475036,674.9068087,6.883501911,6.906108815,7.060126076
383,858,3.12,-4,359,44.01,43.84,43.45,44.75,728,732,748,2.5,0.49,4.72,1820,358.68,3530.56,1903.08,0.8,252,,677.8820846,674.3104855,675.2104384,6.711798541,6.784240675,6.896611278
389,867,2.45,-4.2,335,45.03,44.58,44.8,45.7,660,657,655,5.2,5.36,5.39,3432,3521.52,3530.45,3494.66,3.3,359,,680.1537681,674.9690921,676.2099369,6.388791409,6.432155353,6.56093238
392,874,2.6,-4,312,46.1,45.75,45.91,46.66,638,637,636,5.64,5.56,5.55,3598.32,3541.72,3529.8,3556.61,1.5,355,,679.5517825,676.8232567,676.198019,6.12584963,6.148395233,6.258332906
